Call;Organisation;Project title;Applicant / Contact person;Decision No.;Decision date;Funding period;Funding
AIPSE 2017 LT;VTT Technical Research Centre of Finland Ltd;Artificial Intelligence for Retrieval of Forest Biomass & Structure / Consortium: AIROBEST;Mõttus, Matti;317387;20.12.2017;01.01.2018 - 31.12.2022;456.302
Academy Professor, invited applicants only BTY;University of Helsinki;Colorectal cancer stem cells vascular growth factors in tumor progression;Alitalo, Kari;320249;12.09.2018;01.06.2019 - 31.05.2020;156.239
Academy Professor, stage 2 (invited applicants only) BTY;University of Helsinki;Evolutionary ecology of communication;Mappes, Riitta Johanna;342827;23.05.2018;01.09.2020 - 31.12.2023;526.631
Academy Professor, stage 2 (invited applicants only) BTY;University of Helsinki;MOLECULAR MECHANISMS OF ACTIN MONOMER RECYCLING IN MIGRATING CELLS;Lappalainen, Pekka;319088;23.05.2018;01.01.2019 - 31.12.2023;781.195
Academy Professor, stage 2 (invited applicants only) BTY;University of Helsinki;Towards understanding neoplasia through unique materials and data integration;Aaltonen, Lauri A.;319083;23.05.2018;01.01.2019 - 31.12.2023;781.195
Academy Professor, stage 2 (invited applicants only) BTY;University of Jyväskylä;Evolutionary ecology of communication;Mappes, Riitta Johanna;319124;23.05.2018;01.01.2019 - 31.08.2020;254.564
Academy Professor, stage 2 (invited applicants only) BTY;University of Turku;Ancestral environmental exposures and offspring health – a multigenerational epidemiologic cohort study across 3 generations;Raitakari, Olli;319060;23.05.2018;01.01.2019 - 31.12.2023;781.195
Academy Professor, stage 2 (invited applicants only) KY;University of Helsinki;Facing Narcissism: Grandiosity and Vulnerability of the Self in the Social World;Peräkylä, Anssi;319113;23.05.2018;01.01.2019 - 31.12.2023;781.195
Academy Professor, stage 2 (invited applicants only) KY;University of Helsinki;Urban Land Tenure;Haila, Anne;319090;23.05.2018;01.01.2019 - 22.09.2019;156.239
Academy Professor, stage 2 (invited applicants only) LT;Aalto University;Artificial designer materials (ADaM);Liljeroth, Peter;318995;23.05.2018;01.01.2019 - 31.12.2023;781.195
Academy Professor, stage 2 (invited applicants only) LT;University of Helsinki;Non-linear inverse problems and the mathematics of imaging;Lassas, Matti;318990;23.05.2018;01.01.2019 - 31.12.2023;781.195
Academy Professor, stage 2 (invited applicants only) LT;University of Helsinki;Particle cosmology and gravitational waves;Rummukainen, Kari;319066;23.05.2018;01.01.2019 - 31.12.2023;781.195
Academy Professor, stage 2 (invited applicants only) LT;Åbo Akademi University;Towards deep understanding of multiphase molecular processes by application of transient experimental techniques and mathematical modelling;Salmi, Tapio;319002;23.05.2018;01.01.2019 - 31.12.2023;781.195
Academy Professors BTY;University of Helsinki;Mitochondrial dysfunction remodels vitamin-B metabolism: Roles for neurological disease and therapy;Wartiovaara, Anu;303349;21.06.2016;01.01.2017 - 31.12.2021;781.195
Academy Professors BTY;University of Helsinki;Neurotrophin signaling in neuronal plasticity and brain disorders;Castren, Eero;303124;21.06.2016;01.01.2017 - 31.12.2021;781.195
Academy Professors BTY;University of Helsinki;The genetic architecture of life-history variation: functional mechanisms and implications for evolution;Primmer, Craig;314254;21.06.2016;01.05.2017 - 31.12.2021;742.020
Academy Professors BTY;University of Turku;The genetic architecture of life-history variation: functional mechanisms and implications for evolution;Primmer, Craig;302873;21.06.2016;01.01.2017 - 31.12.2021;39.175
Academy Professors KY;University of Jyväskylä;Marginalization and Experience: Phenomenological Analyses of Normality and Abnormality (MEPA);Heinämaa, Sara;302291;21.06.2016;01.01.2017 - 31.12.2021;781.195
Academy Professors KY;University of Turku;Viral Culture in Early Nineteenth-Century Europe;Salmi, Hannu;302433;21.06.2016;01.01.2017 - 31.12.2021;781.195
Academy Professors LT;Aalto University;Long-range coherence in nanosystems;Törmä, Päivi;303351;21.06.2016;01.01.2017 - 31.12.2021;781.195
Academy Professors LT;University of Helsinki;Air quality - climate interactions and feedbacks;Kulmala, Markku;302958;21.06.2016;01.01.2017 - 31.12.2021;781.195
Academy Professors LT;University of Oulu;High-frequency wireless communications;Latva-aho, Matti;302230;21.06.2016;01.01.2017 - 31.12.2021;781.195
Academy Programme for Development Research, invited applicants BTY;University of Helsinki;Superior grain safety with designed mycotoxin binding properties (POWERGRAIN);Maina, Henry;320289;23.10.2018;01.01.2019 - 31.12.2023;549.450
Academy Programme for Development Research, invited applicants KY;Tampere University;What works? Youth transitions from education to employment in the Middle East and North Africa;Honkatukia, Päivi;320449;23.10.2018;01.01.2019 - 31.10.2023;599.944
Academy Programme for Development Research, invited applicants KY;University of Eastern Finland;Translocal forest owners and environmental collaboration: An action learning process of forest governance transformation in tanzania;Mustalahti, Irmeli;320236;23.10.2018;01.01.2019 - 31.12.2023;598.999
Academy Programme for Development Research, invited applicants KY;University of Helsinki;EDIT: Equality as Democracy in Transformation;Oinas, Elina;320863;23.10.2018;01.01.2019 - 31.12.2023;599.941
Academy Programme for Development Research, invited applicants LT;Tampere University;"Cuban energy transformation 
Integration of renewable intermittent sources in the power system (IRIS) 
 / Consortium: IRIS";Vilkko, Matti;320230;23.10.2018;01.01.2019 - 31.08.2023;358.466
Academy Programme for Development Research, invited applicants LT;University of Turku;"Cuban energy transformation 
Integration of renewable intermittent sources in the power system (IRIS) 
 / Consortium: IRIS";Luukkanen, Jyrki;320229;23.10.2018;01.01.2019 - 31.08.2023;638.047
Academy Project Funding BTY;Aalto University;Capturing Oxidoreductases for Carbohydrate Oligomer Activation / Consortium: COCOA;Master, Emma;308996;16.05.2017;01.09.2017 - 31.12.2020;227.825
Academy Project Funding BTY;Central Finland Healthcare District;"NITEP-Group: Treatment of distal radius fracture in patients 65 years of age and older – a set of prospective, randomized controlled trials 
 / Consortium: NITEP";Pesola, Maija;308453;28.04.2017;01.09.2017 - 31.08.2021;95.877
Academy Project Funding BTY;Finnish Environment Institute;Seed banks as reservoirs of diversity driving evolutionary dynamics and persistence of Baltic phytoplankton in a changing environment;Tamminen, Timo;310449;16.05.2017;01.09.2017 - 31.08.2021;456.620
Academy Project Funding BTY;Finnish Environment Institute;Using novel molecular approaches to study hidden/true microbial diversity of plankton and its response to brownification in aquatic systems (MiDAS);Järvinen, Marko;311229;16.05.2017;01.09.2017 - 30.04.2022;401.972
Academy Project Funding BTY;Finnish Institute for Health and Welfare;Positive mental health, quality of life and social support experienced by people living alone in Finland.;Solin, Pia;308823;28.04.2017;01.09.2017 - 31.12.2021;448.849
Academy Project Funding BTY;Finnish Institute for Health and Welfare;Projections of the burden of disease and disability in Finland - health policy prospects;Tolonen, Hanna;307907;28.04.2017;01.09.2017 - 31.12.2021;448.848
Academy Project Funding BTY;Finnish Meteorological Institute;Global health risks related to atmospheric composition and weather / Consortium: GLORIA;Kukkonen, Jaakko;310373;28.04.2017;01.07.2017 - 30.06.2021;200.000
Academy Project Funding BTY;Finnish Meteorological Institute;Real-time characterization of atmospheric Pollen with active remote sensing;Giannakaki, Eleni;310312;16.05.2017;01.09.2017 - 31.08.2021;474.409
Academy Project Funding BTY;Finnish Meteorological Institute;Refining climate effects of anthropogenic and natural aerosol;Kokkola, Harri;308292;16.05.2017;01.09.2017 - 31.08.2021;382.527
Academy Project Funding BTY;Finnish Meteorological Institute;Role of upland forest soils in regional methane balance: from catchment to global scales / Consortium: UPFORMET;Lohila, Annalea;308511;16.05.2017;01.09.2017 - 31.08.2021;389.151
Academy Project Funding BTY;Helsinki University Central Hospital;Precision medicine in B-cell lymphomas;Leppä, Sirpa;311171;28.04.2017;01.09.2017 - 30.11.2021;440.679
Academy Project Funding BTY;Helsinki University Central Hospital;Prostate Cancer Screening Trial / Consortium: ProScreen;Rannikko, Antti;311481;28.04.2017;01.09.2017 - 31.08.2023;239.211
Academy Project Funding BTY;Helsinki University Central Hospital;Role of the microbiome-gut-brain axis in prodromal and established Parkinson's disease;Scheperjans, Filip;310835;28.04.2017;01.09.2017 - 31.08.2022;448.849
Academy Project Funding BTY;Helsinki University Central Hospital;Understanding rising prevalence of depression in Finland: life course epidemiology, epigenetic mechanisms and gender differences / Consortium: DEPIS;Marttunen, Mauri;309117;28.04.2017;01.01.2018 - 31.08.2021;154.856
Academy Project Funding BTY;Minerva Foundation Institute for Medical Research;Regulation and physiological importance of dendritic spine initiation;Hotulainen, Pirta;307735;16.05.2017;01.09.2017 - 31.08.2021;474.873
Academy Project Funding BTY;Natural Resources Institute Finland;Below-ground colors of Arctic vegetation greening: How shifts in soil microbial life strategies influence soil carbon stocks;Männistö, Minna;310776;16.05.2017;01.09.2017 - 31.08.2021;532.402
Academy Project Funding BTY;Natural Resources Institute Finland;Capturing Oxidoreductases for Carbohydrate Oligomer Activation / Consortium: COCOA;Happonen, Anna Kristiina;308998;16.05.2017;01.09.2017 - 31.12.2020;206.642
Academy Project Funding BTY;Natural Resources Institute Finland;Drivers of fine root phenology of boreal trees in changing climate (RootPheno);Repo, Tapani;311455;16.05.2017;01.09.2017 - 31.10.2021;547.051
Academy Project Funding BTY;Natural Resources Institute Finland;Economic and environmental feasibility of continuous cover forestry on drained organic soils / Consortium: CCFPeat;Nieminen, Mika;310203;16.05.2017;01.09.2017 - 31.12.2021;371.987
Academy Project Funding BTY;Natural Resources Institute Finland;Forest mycovirome;Vainio, Eeva;309896;16.05.2017;01.09.2017 - 31.12.2021;491.258
Academy Project Funding BTY;Natural Resources Institute Finland;Models of heterogeneity, contextuality and self-interaction in ordered spatial point patterns with applications to animal movement and forest inventory / Consortium: ordSpat;Heikkinen, Juha;310072;16.05.2017;01.09.2017 - 31.08.2022;350.102
Academy Project Funding BTY;Natural Resources Institute Finland;Role of upland forest soils in regional methane balance: from catchment to global scales / Consortium: UPFORMET;Peltoniemi, Krista;308514;16.05.2017;01.09.2017 - 31.08.2021;82.895
Academy Project Funding BTY;Natural Resources Institute Finland;Value based result-oriented agri-food policies: legitimacy, efficiency and feasibility (VABARO);Pouta, Eija;310205;16.05.2017;01.09.2017 - 30.06.2022;542.559
Academy Project Funding BTY;Tampere University;Chromatin structure and enhancer landscape in prostate cancer progression;Nykter, Matti;326369;28.04.2017;01.01.2019 - 31.08.2021;327.157
Academy Project Funding BTY;Tampere University;Prostate Cancer Screening Trial / Consortium: ProScreen;Auvinen, Anssi;326658;28.04.2017;01.01.2019 - 31.08.2022;309.885
Academy Project Funding BTY;Tampere University;Smart upgrading of biomass by multispecies approach (SBiO) / Consortium: SBiO;Santala, Ville;326376;16.05.2017;01.01.2019 - 28.02.2022;330.608
Academy Project Funding BTY;Tampere University Hospital;"NITEP-Group: Treatment of distal radius fracture in patients 65 years of age and older – a set of prospective, randomized controlled trials 
 / Consortium: NITEP";Mattila, Ville Matti;308203;28.04.2017;01.09.2017 - 31.08.2022;305.601
Academy Project Funding BTY;Tampere University Hospital;"NITEP-Group: Treatment of distal radius fracture in patients 65 years of age and older – a set of prospective, randomized controlled trials 
 / Consortium: NITEP";Mattila, Ville Matti;309440;28.04.2017;01.09.2017 - 31.12.2023;88.441
Academy Project Funding BTY;University of Eastern Finland;Cellular specificity of initial pathology in Alzheimer’s disease;Tanila, Heikki;310059;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;University of Eastern Finland;Deciphering the novel Alzheimer’s disease-associated targets in synaptic dysfunction;Hiltunen, Mikko;307866;28.04.2017;01.09.2017 - 31.08.2021;423.832
Academy Project Funding BTY;University of Eastern Finland;Ecosystem shift potential of northern mires in response to hydrological change;Tahvanainen, Teemu;311655;16.05.2017;01.09.2017 - 31.12.2021;475.675
Academy Project Funding BTY;University of Eastern Finland;LAT1-targeted prodrugs for improved drug delivery to invasive glioma cells;Rautio, Jarkko;308329;28.04.2017;01.09.2017 - 31.12.2021;441.492
Academy Project Funding BTY;University of Eastern Finland;Melanosome Targeted Drug Delivery for Improved Retinal Drug Delivery;Urtti, Arto;311122;28.04.2017;01.09.2017 - 31.08.2021;440.679
Academy Project Funding BTY;University of Eastern Finland;Models of heterogeneity, contextuality and self-interaction in ordered spatial point patterns with applications to animal movement and forest inventory / Consortium: ordSpat;Hujo, Mika;310073;16.05.2017;01.09.2017 - 31.12.2021;350.028
Academy Project Funding BTY;University of Eastern Finland;New Insights for Womens´Healthy Aging;Kröger, Heikki;310831;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;University of Eastern Finland;TCF7L2-driven gene expression and regulatory variants in metabolic traits;Heikkinen, Sami;308875;16.05.2017;01.09.2017 - 31.12.2021;508.095
Academy Project Funding BTY;University of Eastern Finland;The role of terrestrial organic matter in trophic transfer of essential micronutrients and  elements and in littoral food webs of boreal lakes;Kankaala, Paula;310450;16.05.2017;01.09.2017 - 31.12.2021;488.230
Academy Project Funding BTY;University of Eastern Finland;Triple Contrast Method for Computed Tomography Diagnostics of Cartilage Injuries;Töyräs, Juha;307932;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;University of Eastern Finland;Volatile-mediated plant communication in wild and cultivated plants: Understanding mechanisms of change in a polluted atmosphere;Blande, James;309425;16.05.2017;01.09.2017 - 31.08.2021;529.720
Academy Project Funding BTY;University of Helsinki;An omics approach to identify environmental, metabolic and genomic determinants of canine neurobehavioral traits as natural models of human anxiety;Lohi, Hannes;308887;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;University of Helsinki;CDNF and its Domains: Mode of Action and Novel Treatment for Parkinson’s Disease;Saarma, Mart;310891;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;University of Helsinki;Capturing Oxidoreductases for Carbohydrate Oligomer Activation / Consortium: COCOA;Tenkanen, Maija;308997;16.05.2017;01.09.2017 - 31.12.2020;250.972
Academy Project Funding BTY;University of Helsinki;Characterization and functional analysis of renal progenitor populations;Kuure, Satu;309997;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;University of Helsinki;Community defence responses in food spoilage lactic acid bacteria, from restriction modification to complex interactomes in modern foods / Consortium: CODELAB;Auvinen, Petri;307856;16.05.2017;01.09.2017 - 31.08.2021;350.000
Academy Project Funding BTY;University of Helsinki;Community defence responses in food spoilage lactic acid bacteria, from restriction modification to complex interactomes in modern foods / Consortium: CODELAB;Björkroth, Johanna;307855;16.05.2017;01.09.2017 - 31.08.2021;350.000
Academy Project Funding BTY;University of Helsinki;Composition, structure and function of membranous viral replication complexes;Ahola, Tero;307802;16.05.2017;01.09.2017 - 31.12.2021;467.534
Academy Project Funding BTY;University of Helsinki;Computational modelling of Clostridium botulinum toxin production regulation (COMBOT);Honkela, Antti;310261;16.05.2017;01.09.2017 - 31.08.2021;538.688
Academy Project Funding BTY;University of Helsinki;DEVELOPMENT OF GENE AND CELL THERAPY FOR APECED;Ranki, Annamari;309433;28.04.2017;01.09.2017 - 31.03.2022;448.849
Academy Project Funding BTY;University of Helsinki;Dynamics of inflorescence meristem patterning in Asteraceae;Elomaa, Paula;310318;16.05.2017;01.09.2017 - 31.08.2021;491.262
Academy Project Funding BTY;University of Helsinki;Dynamics of morphogenesis and cell-cell communication: from 2D to 3D;Shimmi, Osamu;308045;16.05.2017;01.09.2017 - 31.08.2021;369.434
Academy Project Funding BTY;University of Helsinki;Ecological engineering as a biodiversity driver in deep time;Kröger, Björn;309422;16.05.2017;01.09.2017 - 31.08.2021;381.186
Academy Project Funding BTY;University of Helsinki;Economic and environmental feasibility of continuous cover forestry on drained organic soils / Consortium: CCFPeat;Ollikainen, Markku;310204;16.05.2017;01.09.2017 - 31.12.2021;298.702
Academy Project Funding BTY;University of Helsinki;Effects of engineered nanomaterials on host-microbe interactions on the skin and in the lungs of mice;Karisola, Piia;307768;16.05.2017;01.09.2017 - 31.12.2021;513.088
Academy Project Funding BTY;University of Helsinki;Evolutionary quantitative genomics of natural populations;Merilä, Juha;307943;16.05.2017;01.09.2017 - 31.08.2021;571.720
Academy Project Funding BTY;University of Helsinki;Genomic Profiling of Gynecological Tumors;Vahteristo, Pia;307773;28.04.2017;01.09.2017 - 31.05.2022;448.849
Academy Project Funding BTY;University of Helsinki;Genomic editing for treating hemoglobin diseases;Wartiovaara, Kirmo;308481;28.04.2017;01.09.2017 - 31.12.2020;342.063
Academy Project Funding BTY;University of Helsinki;Heterogeneity of depression at symptom level: Specific versus general patterns in etiology, development, and disability;Jokela, Markus;311578;28.04.2017;01.09.2017 - 31.08.2022;448.849
Academy Project Funding BTY;University of Helsinki;Illuminating the dark taxa of Lepidoptera: dawn of an explosive radiation;Kaila, Lauri;308396;16.05.2017;01.09.2017 - 31.08.2020;312.812
Academy Project Funding BTY;University of Helsinki;Mechanisms of actin-regulated transcription in heat shock response;Vartiainen, Maria;309222;16.05.2017;01.09.2017 - 31.08.2021;530.324
Academy Project Funding BTY;University of Helsinki;Metabolic regulation in plant immunity;Kangasjärvi, Saijaliisa;345071;16.05.2017;01.01.2021 - 31.12.2021;87.067
Academy Project Funding BTY;University of Helsinki;Midlife predictors of dementia, frailty and disability at older ages;Kivimäki, Mika;311492;28.04.2017;01.09.2017 - 31.12.2020;400.000
Academy Project Funding BTY;University of Helsinki;Modern statistical toolbox for community ecologists: making more out of old and new kinds of data;Ovaskainen, Otso;309581;16.05.2017;01.09.2017 - 31.08.2021;574.436
Academy Project Funding BTY;University of Helsinki;Novel protozoan inhibitors through structure- and fragment-based drug discovery approaches;Xhaard, Henri;310297;28.04.2017;01.09.2017 - 28.02.2022;448.845
Academy Project Funding BTY;University of Helsinki;Novel regulatory functions for the minor spliceosome;Frilander, Mikko;308657;16.05.2017;01.09.2017 - 31.08.2021;481.241
Academy Project Funding BTY;University of Helsinki;Pathogenesis of Non-alcoholic Fatty Liver Diseases (NAFLDs) in humans;Yki-Järvinen, Hannele;309263;28.04.2017;01.09.2017 - 31.08.2023;448.813
Academy Project Funding BTY;University of Helsinki;RNA repeat toxicity in neuromuscular degeneration –mechanisms of cellular dysfunction;Domingos de Almeida Garcia, Susana Maria;309173;28.04.2017;01.09.2017 - 31.08.2021;446.916
Academy Project Funding BTY;University of Helsinki;Regeneration potential of MANF: focus on ER stress and cellular ischemia;Airavaara, Mikko;309489;16.05.2017;01.09.2017 - 31.08.2021;509.229
Academy Project Funding BTY;University of Helsinki;Role of altered neuronal chloride homeostasis in reactive plasticity and epileptogenesis;Rivera Baeza, Claudio;308265;16.05.2017;01.09.2017 - 31.08.2021;583.472
Academy Project Funding BTY;University of Helsinki;Role of upland forest soils in regional methane balance: from catchment to global scales / Consortium: UPFORMET;Virtanen, Tarmo;308513;16.05.2017;01.09.2017 - 31.08.2021;108.276
Academy Project Funding BTY;University of Helsinki;Significance of transcription elongation kinases in DNA damage response;Barboric, Matjaz;309846;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;University of Helsinki;Therapeutic reactivation of Myc Apoptosis Pathway in Breast Cancer;Klefström, Juha;309848;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;University of Helsinki;"Tropical peat decomposition under land-use change: adaptation to resources and conditions 
TROPDEC";Vasander, Harri;310194;16.05.2017;01.09.2017 - 31.08.2022;571.016
Academy Project Funding BTY;University of Helsinki;Understanding rising prevalence of depression in Finland: life course epidemiology, epigenetic mechanisms and gender differences / Consortium: DEPIS;Korhonen, Maila Tellervo;309119;28.04.2017;01.01.2018 - 31.12.2020;154.856
Academy Project Funding BTY;University of Helsinki;Vascular stabilization via Angiopoietin-Tie and Angiopoietin-integrin pathways;Saharinen, Pipsa;310075;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;University of Jyväskylä;"Are older people becoming younger? 
Cohort differences in perceived age and functional capacity among 75- and 80-year-old people assessed 28 years apart (The Evergreen 2)";Rantanen, Taina;310526;28.04.2017;01.09.2017 - 31.08.2022;448.849
Academy Project Funding BTY;University of Jyväskylä;Environmental effects on complex parasite interactions: implications for disease epidemiology and prevention;Karvonen, Anssi;310632;16.05.2017;01.09.2017 - 31.08.2021;531.207
Academy Project Funding BTY;University of Jyväskylä;Human induced trans-generational stress tolerance and invasion success;Lindström, Leena;308302;16.05.2017;01.09.2017 - 30.09.2022;516.336
Academy Project Funding BTY;University of Oulu;Cellular oxygen sensors in hepatic, inflammatory and immunological diseases and cancer;Karppinen, Peppi;308009;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;University of Oulu;Collagen XVIII in growth and treatment of solid cancers;Pihlajaniemi, Taina;308867;28.04.2017;01.09.2017 - 31.08.2021;448.850
Academy Project Funding BTY;University of Oulu;Global health risks related to atmospheric composition and weather / Consortium: GLORIA;Jaakkola, Jouni;310372;28.04.2017;01.09.2017 - 31.12.2022;100.000
Academy Project Funding BTY;University of Oulu;TRAITS IN EMERGING ENDOSYMBIOSIS FOR MANIPULATING HOST CELL (INCELL);Pirttilä, Anna Maria;308766;16.05.2017;01.09.2017 - 31.12.2021;526.141
Academy Project Funding BTY;University of Oulu;Understanding the molecular mechanism of Plasmodium gliding motility;Kursula, Inari;310917;28.04.2017;01.09.2017 - 31.12.2021;448.589
Academy Project Funding BTY;University of Oulu;Venous morphogenesis: organ specific development and molecular therapies for chronic diseases;Eklund, Lauri;310986;28.04.2017;01.09.2017 - 31.08.2021;448.847
Academy Project Funding BTY;University of Turku;Bisfosfonaattien aiheuttaman tulehdusreaktion kliininen merkitys;Grönroos, Tove;308375;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;University of Turku;Chiral lipids in chiral nature: a novel strategy for regio- and stereospecific research of human milk and omega-3 lipids;Yang, Baoru;310982;16.05.2017;01.09.2017 - 31.12.2022;526.945
Academy Project Funding BTY;University of Turku;Early life stress, gut microbiome, and child brain development - the FinnBrain Birth Cohort Study;Karlsson, Linnea;308176;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;University of Turku;Effects of glyphosate on non-target organisms;Helander, Marjo;311077;16.05.2017;01.09.2017 - 31.08.2022;515.042
Academy Project Funding BTY;University of Turku;Ellagitannin-lipid interactions – Molecular aspects, mechanisms and antimicrobial effects;Karonen, Maarit;310549;16.05.2017;01.09.2017 - 31.08.2021;472.909
Academy Project Funding BTY;University of Turku;Human taste sensitivity and multisensory perception of food;Sandell, Mari;309408;16.05.2017;01.09.2017 - 31.12.2021;496.666
Academy Project Funding BTY;University of Turku;Inherited gene mutations in aggressive prostate cancer;Schleutker, Johanna;310105;28.04.2017;01.09.2017 - 31.12.2021;446.838
Academy Project Funding BTY;University of Turku;LMNA-related dilated cardiomyopathy: modelling and molecular targeting of cellular stress in vitro and in vivo;Taimen, Pekka;309443;28.04.2017;01.09.2017 - 28.02.2022;448.849
Academy Project Funding BTY;University of Turku;Metabolic regulation in plant immunity;Kangasjärvi, Saijaliisa;307719;16.05.2017;01.01.2017 - 31.12.2020;380.504
Academy Project Funding BTY;University of Turku;Molecular imaging of ischemic heart disease: New imaging biomarkers for clinical translation;Saraste, Antti;310136;28.04.2017;01.09.2017 - 28.02.2022;431.256
Academy Project Funding BTY;University of Turku;Prenatal and Early Infancy Risk Factors of ADHD – A Nationwide Biomarker and Register-Based Study;Sourander, Andre;310834;28.04.2017;01.09.2017 - 31.08.2022;448.849
Academy Project Funding BTY;University of Turku;Professional Competence in Nursing (PROCOMPNurse);Leino-Kilpi, Helena;310145;28.04.2017;01.09.2017 - 31.12.2021;448.849
Academy Project Funding BTY;University of Turku;Streptococcal infections and carriage (DICAR);Vuopio, Jaana;308482;28.04.2017;01.09.2017 - 30.06.2022;396.785
Academy Project Funding BTY;University of Turku;Translational approaches in the diagnosis and treatment of Alzheimer´s disease;Rinne, Juha;310962;28.04.2017;01.09.2017 - 31.08.2021;448.849
Academy Project Funding BTY;VTT Technical Research Centre of Finland Ltd;Glucose-1-phosphate as a building block for energy efficient metabolic engineering (FOSSOK);Penttilä, Merja;309384;16.05.2017;01.09.2017 - 31.08.2021;459.229
Academy Project Funding BTY;VTT Technical Research Centre of Finland Ltd;Smart upgrading of biomass by multispecies approach (SBiO) / Consortium: SBiO;Toivari, Mervi;310191;16.05.2017;01.09.2017 - 31.08.2021;287.000
