Call;Organisation;Project title;Applicant / Contact person;Decision No.;Decision date;Funding period;Funding
Academy Project BTY;University of Helsinki;Root-related carbon fluxes - missing pieces in the boreal peatland carbon balance puzzle / Consortium: PeatRoot;Minkkinen, Kari;289586;11.05.2015;01.09.2015 - 31.08.2019;389.977
Academy Project BTY;University of Helsinki;Structure-function relationship of endoplasmic reticulum;Jokitalo, Eija;287975;11.05.2015;01.09.2015 - 31.08.2019;578.284
Academy Project BTY;University of Jyväskylä;Consumer allochthony in lakes;Hämäläinen, Heikki;285619;11.05.2015;01.09.2015 - 31.08.2019;603.443
Academy Project BTY;University of Jyväskylä;Counselling for Physical Activity, Life-Space Mobility and Falls Prevention in Old Age (COSMOS);Nikander, Riku;289523;22.04.2015;01.09.2015 - 31.08.2019;489.110
Academy Project BTY;University of Jyväskylä;Fear effects, predation cue recognition and changing environment: prey and specialist predator perspectives;Ylönen, Hannu;288990;11.05.2015;01.09.2015 - 31.12.2019;550.290
Academy Project BTY;University of Jyväskylä;Microbes alter successional pathways;Kytöviita, Minna-Maarit;287545;11.05.2015;01.09.2015 - 31.08.2019;426.811
Academy Project BTY;University of Oulu;Glycosyltransferase complexes: A structural approach to understand glycosylation and its defects in cancer cells;Kellokumpu, Jarmo Sakari;285232;11.05.2015;01.09.2015 - 31.08.2019;567.959
Academy Project BTY;University of Oulu;Northern Finland Birth Cohort (NFBC) Programme: Exposomic, Genomic and Epigenomic Approach to Prediction of Metabolic and Cardiorespiratory function and Ill-Health (EGEA);Järvelin, Marjo-Riitta;285547;22.04.2015;01.09.2015 - 31.08.2019;500.000
Academy Project BTY;University of Oulu;Telomeres in wildlife – coping with environmental stress;Watts, Phillip;287153;11.05.2015;01.09.2015 - 31.08.2019;491.331
Academy Project BTY;University of Oulu;Tumareseptori PXR ravitsemuksellisessa signaloinnissa ja metabolisessa terveydessä;Hakkola, Jukka;286743;22.04.2015;01.09.2015 - 31.08.2019;500.000
Academy Project BTY;University of Tampere -2018;Beta carbonic anhydrase: a new silver bullet against parasitic diseases;Parkkila, Seppo;286593;22.04.2015;01.09.2015 - 31.12.2018;328.966
Academy Project BTY;University of Tampere -2018;Regeneration of injured skeletal muscle by in vivo functional selection (FunSel) of the full secretome;Järvinen, Tero;287907;22.04.2015;01.09.2015 - 31.12.2018;342.203
Academy Project BTY;University of Turku;Evolutionary quantitative genetics of personality in the wild;Brommer, Jon;289456;11.05.2015;01.09.2015 - 31.08.2019;394.790
Academy Project BTY;University of Turku;Fimbrial adhesins: assembly mechanism, structure and functions in animal and plant pathogenesis and sporulation;Zavialov, Anton;285856;11.05.2015;01.09.2015 - 31.08.2019;578.992
Academy Project BTY;University of Turku;Genetic dissection of different pathways to type 1 diabetes;Ilonen, Jorma;286765;22.04.2015;01.09.2015 - 31.08.2019;422.935
Academy Project BTY;University of Turku;Mechanism of transcription elongation and termination;Belogurov, Georgi;286205;11.05.2015;01.09.2015 - 31.08.2019;541.411
Academy Project BTY;University of Turku;Molecular Evolution of Antibiotic Biosynthesis Enzymes;Metsä-Ketelä, Mikko;285971;11.05.2015;01.09.2015 - 31.08.2019;596.586
Academy Project BTY;University of Turku;Pim substrates in regulation of metastatic growth of prostate cancer cells;Koskinen, Päivi Johanna;287040;22.04.2015;01.09.2015 - 31.08.2019;499.368
Academy Project BTY;University of Turku;Time trend changes of child and adolescent mental health, service use and well-being in multiple Finnish cohorts;Gissler, Mika;288960;22.04.2015;01.09.2015 - 31.12.2019;500.000
Academy Project BTY;VTT Technical Research Centre of Finland Ltd;Carbohydrate metabolism of marine fungi;Wiebe, Marilyn;289055;11.05.2015;01.09.2015 - 31.12.2019;499.036
Academy Project BTY;VTT Technical Research Centre of Finland Ltd;Engineered biocatalysts for production of novel chemicals in vitro or in vivo / Consortium: ENGBIOCAT;Koivula, Anu;288677;11.05.2015;01.09.2015 - 31.08.2019;453.936
Academy Project BTY;VTT Technical Research Centre of Finland Ltd;"Multilevel assessment of sustainable oil spill response measures and their impact on Arctic and subarctic marine environments 
(OILRES) / Consortium: OILRES";Nyyssönen, Mari;289480;11.05.2015;01.09.2015 - 31.08.2019;398.880
Academy Project BTY;VTT Technical Research Centre of Finland Ltd;"Multimodal assessment of food reward: insights to individual appetite control (MARIA)  
 / Consortium: MARIA";Närväinen, Mari Johanna;290183;22.04.2015;01.09.2015 - 31.08.2019;123.251
Academy Project BTY;Åbo Akademi University;Role of siglec-mediated conformational motions and functional interactions in leukocyte adhesion with relevance to targeting of inflammatory disease;Salminen, Tiina;288534;11.05.2015;01.09.2015 - 31.08.2019;504.740
Academy Project BY;Finnish Environment Institute;Deriving production-relevant phytoplankton traits by integrated experimental platform development for future ecosystem models;Tamminen, Timo;268953;23.05.2013;01.09.2013 - 31.08.2017;719.719
Academy Project BY;Finnish Forest Research Institute;Growth rate of Norway spruce: genotypic variation of root growth and interactions with rhizosphere;Pennanen, Taina;268678;23.05.2013;01.05.2014 - 31.12.2014;42.642
Academy Project BY;Finnish Forest Research Institute;Winter in changing climate: effects of snow conditions on plants, soil and their interactions in the boreal forest;Rautio, Pasi;267092;23.05.2013;01.09.2013 - 31.12.2014;170.654
Academy Project BY;Finnish Meteorological Institute;Greenhouse gas, aerosol and albedo variations in the changing Arctic;Viisanen, Yrjö;269095;23.05.2013;01.09.2013 - 31.08.2017;648.874
Academy Project BY;MTT Agrifood Research Finland;Integrated modelling of Nordic farming systems for sustainable intensification under climate change (NORFASYS);Rötter, Reimund;268277;23.05.2013;01.09.2013 - 31.12.2014;193.119
Academy Project BY;MTT Agrifood Research Finland;Multiply Mobile Elements: Retrotransposon Cell-to-Cell movement;Schulman, Alan;266430;23.05.2013;01.09.2013 - 31.12.2014;267.053
Academy Project BY;Minerva Foundation Institute for Medical Research;Regulation of dendritic filopodia by intracellular pH and membrane curvature;Hotulainen, Pirta;301624;23.05.2013;01.01.2016 - 31.12.2017;288.464
Academy Project BY;Natural Resources Institute Finland;Growth rate of Norway spruce: genotypic variation of root growth and interactions with rhizosphere;Pennanen, Taina;292967;23.05.2013;01.01.2015 - 30.04.2018;655.488
Academy Project BY;Natural Resources Institute Finland;Integrated modelling of Nordic farming systems for sustainable intensification under climate change (NORFASYS);Rötter, Reimund;292944;23.05.2013;01.01.2015 - 31.08.2017;468.793
Academy Project BY;Natural Resources Institute Finland;Multiply Mobile Elements: Retrotransposon Cell-to-Cell movement;Schulman, Alan;292838;23.05.2013;01.01.2015 - 31.08.2017;368.303
Academy Project BY;Natural Resources Institute Finland;Winter in changing climate: effects of snow conditions on plants, soil and their interactions in the boreal forest;Rautio, Pasi;292793;23.05.2013;01.01.2015 - 31.08.2017;463.230
Academy Project BY;University of Eastern Finland;Cardiac effects of PGC-1α isoforms;Tavi, Pasi;267637;23.05.2013;01.09.2013 - 31.08.2017;574.225
Academy Project BY;University of Eastern Finland;Gene regulation in three dimensions: Dynamic long-range chromatin interactions mediated by the vitamin D receptor in monocytic leukemia cells;Carlberg, Carsten;267067;23.05.2013;01.09.2013 - 31.08.2017;686.264
Academy Project BY;University of Eastern Finland;Interactions between divergent climate change factors and fungal endophytes in Populus tremula genders: Mining of novel mecha-nisms;Julkunen-Tiitto, Riitta;267360;23.05.2013;01.09.2013 - 31.12.2018;595.637
Academy Project BY;University of Eastern Finland;Mycorrhizas in ecosystems revisited: Climatic and nutritional determinants of success for mycorrhiza types;Lehto, Tarja;268279;23.05.2013;01.09.2013 - 31.08.2017;521.199
Academy Project BY;University of Helsinki;Fluorescent proteins for modern imaging technologies;Verkhusha, Vladislav;266992;23.05.2013;01.09.2013 - 31.08.2017;570.610
Academy Project BY;University of Helsinki;Impact of phloem-xylem interaction and sink behavior on leaf gas exchange.;Hölttä, Teemu;268342;23.05.2013;01.01.2014 - 31.12.2017;496.358
Academy Project BY;University of Helsinki;Mechanisms in the formation of membrane structures involved in virus replication;Ahola, Tero;265997;23.05.2013;01.09.2013 - 31.08.2017;635.739
Academy Project BY;University of Helsinki;Nuclear actin in transcription - from mechanisms to physiological relevance;Vartiainen, Maria;265654;23.05.2013;01.09.2013 - 31.08.2017;687.067
Academy Project BY;University of Helsinki;OPPORTUNISTIC PATHOGENS: VIRULENCE, DISEASE DYNAMICS AND EVOLUTION;Kaitala, Veijo;267541;23.05.2013;01.09.2013 - 31.08.2017;657.540
Academy Project BY;University of Helsinki;Regulation of dendritic filopodia by intracellular pH and membrane curvature;Hotulainen, Pirta;266351;23.05.2013;01.09.2013 - 31.12.2015;238.176
Academy Project BY;University of Helsinki;Regulation of growth and species succession patterns in psychrotrophic communities causing spoilage and safety risks in packaged foods / Consortium: GROWTHREG;Björkroth, Johanna;267623;23.05.2013;01.09.2013 - 31.08.2017;688.987
Academy Project BY;University of Helsinki;Skin appendage morphogenesis: from molecular pathways to cellular mechanisms;Mikkola, Marja;268798;23.05.2013;01.09.2013 - 31.08.2017;591.843
Academy Project BY;University of Helsinki;Spatiotemporal regulation of TGF-beta type signaling molecules and morphogenesis;Shimmi, Osamu;265648;23.05.2013;01.09.2013 - 31.08.2017;404.406
Academy Project BY;University of Helsinki;Synthetic biology of Lactococcus lactis;Saris, Per-Erik;268922;23.05.2013;01.09.2013 - 31.12.2017;589.903
Academy Project BY;University of Helsinki;"What makes DNA move in microbial world? 
-environmental and genetic factors studied with single-cell genomics";Virta, Marko;268643;23.05.2013;01.09.2013 - 31.08.2017;599.552
Academy Project BY;University of Helsinki;see main form Björkroth / Consortium: GROWTHREG;Auvinen, Petri;267755;23.05.2013;01.09.2013 - 31.08.2017;674.829
Academy Project BY;University of Jyväskylä;Evolutionary responses to ionizing radiation in natural mammalian populations - two replicates caused by nuclear accidents;Mappes, Tapio;268670;23.05.2013;01.09.2013 - 31.08.2017;592.475
Academy Project BY;University of Jyväskylä;Genetics and genomics of adaptation and the onset of reproductive barriers;Hoikkala, Anneli;267244;23.05.2013;01.09.2013 - 31.08.2017;605.355
Academy Project BY;University of Oulu;Ion channels and Information Processing in the Compound Eye: an Ecophysiological Research Program;Huttula, Marko;269332;23.05.2013;01.09.2013 - 31.08.2017;419.401
Academy Project BY;University of Turku;Cyanobacterial RNA polymerase: from composition to regulatory role in acclimation responses;Tyystjärvi, Taina;265807;23.05.2013;01.09.2013 - 31.08.2017;640.919
Academy Project BY;University of Turku;Massive diversification in Lepidoptera: influence of climate changes and insect-plant interactions over 200 million years;Wahlberg, Mikko Niklas;265511;23.05.2013;01.09.2013 - 31.12.2015;226.810
Academy Project BY;University of Turku;Pollution-related vitamin and calcium deficiency in birds;Eeva, Tapio;265859;23.05.2013;01.09.2013 - 31.08.2017;591.819
Academy Project BY;Åbo Akademi University;Cytoskeletal intermediate filaments at the gates of epithelial mesenchymal transition;Eriksson, John;269186;23.05.2013;01.09.2013 - 31.08.2017;635.705
Academy Project BY;Åbo Akademi University;Deuterium NMR studies on the lateral interactions and transmembrane distribution of cholesterol in membranes;Slotte, J Peter;268394;23.05.2013;01.09.2013 - 31.08.2017;513.178
Academy Project BY;Finnish Environment Institute;Occurrence, ecology and significance of bacterial polyhydroxyalkanoate (PHA) production in sea ice and cold pelagic waters (PHAICE).;Kaartokallio, Hermanni;276739;14.05.2014;01.09.2014 - 31.08.2018;583.793
Academy Project BY;Finnish Institute for Health and Welfare;Microbiome dynamics in drinking water distribution systems / Consortium: DWDSOME;Miettinen, Ilkka;275549;14.05.2014;01.09.2014 - 31.12.2018;561.069
Academy Project BY;Finnish Meteorological Institute;Effects of transient air quality improvement during Nanjing Youth Olympics on physico-chemical and toxicological properties of urban air inhalable particles / Consortium: CHIFI;Komppula, Mika;278331;14.05.2014;01.09.2014 - 31.08.2018;389.683
Academy Project BY;Finnish Meteorological Institute;Pathways for linking uncertainties in climate model projections and effects (PLUMES) / Consortium: PLUMES;Jylhä, Kirsti;278067;14.05.2014;01.09.2014 - 31.08.2018;342.143
Academy Project BY;Lappeenranta-Lahti University of Technology LUT;SEARCHING FOR SUSTAINABLE AND COMPETITIVE FUTURE FOR THE FOREST SECTOR / Consortium: FORESCOF;Puumalainen, Kaisu;278306;14.05.2014;01.09.2014 - 31.08.2017;332.366
Academy Project BY;MTT Agrifood Research Finland;Pathways for linking uncertainties in model projections of climate and its effects / Consortium: PLUMES;Palosuo, Taru;277403;14.05.2014;01.09.2014 - 31.12.2014;30.595
Academy Project BY;Natural Resources Institute Finland;Pathways for linking uncertainties in model projections of climate and its effects / Consortium: PLUMES;Palosuo, Taru;292836;14.05.2014;01.01.2015 - 31.08.2018;225.478
Academy Project BY;University of Eastern Finland;Characterization and targeting of heightened serine hydrolase activity in glioma;Laitinen, Jarmo;278212;14.05.2014;01.01.2015 - 31.12.2018;628.010
Academy Project BY;University of Eastern Finland;Effects of transient air quality improvement during Nanjing Youth Olympics on physico-chemical and toxicological properties of urban air inhalable particles / Consortium: CHIFI;Hirvonen, Maija-Riitta;278269;14.05.2014;01.09.2014 - 31.08.2018;647.660
Academy Project BY;University of Eastern Finland;Microbiome dynamics in drinking water distribution systems / Consortium: DWDSOME;Torvinen, Eila;277639;14.05.2014;01.09.2014 - 31.12.2018;439.150
Academy Project BY;University of Eastern Finland;NOVEL APPROACHES TO STUDY MENINGEAL NOCICEPTION UNDERLYING MIGRAINE PAIN;Giniatullin, Rashid;277442;14.05.2014;01.09.2014 - 31.08.2018;507.530
Academy Project BY;University of Eastern Finland;Protective functions of plant semi-volatiles and their degradation  products on plant surfaces;Holopainen, Jarmo;278424;14.05.2014;01.09.2014 - 31.08.2018;580.083
Academy Project BY;University of Helsinki;Biotic interactions in a changing Arctic;Roslin, Tomas;276909;14.05.2014;01.01.2015 - 31.12.2018;668.555
Academy Project BY;University of Helsinki;Climatic adaptation of reproductive development in strawberry;Hytönen, Timo;278475;14.05.2014;01.09.2014 - 31.08.2018;585.366
