Year,m,d,Time,Time zone,Maximum temperature (degC),Minimum temperature (degC)
2019,7,5,00:00,UTC,17.9,5.8
2019,7,6,00:00,UTC,19.3,10.5
2019,7,7,00:00,UTC,20.3,8.2
2019,7,8,00:00,UTC,13.7,9.5
2019,7,9,00:00,UTC,14.7,8.5
2019,7,10,00:00,UTC,18.6,6.9
2019,7,11,00:00,UTC,16.4,9.5
2019,7,12,00:00,UTC,18.7,4.8
2019,7,13,00:00,UTC,15.7,7.1
2019,7,14,00:00,UTC,17.4,0.9
2019,7,15,00:00,UTC,19.9,7.3
2019,7,16,00:00,UTC,21.1,11.8
2019,7,17,00:00,UTC,22.7,7.9
2019,7,18,00:00,UTC,21.6,9.5
2019,7,19,00:00,UTC,22.7,8
2019,7,20,00:00,UTC,24.7,7.5
2019,7,21,00:00,UTC,26.6,8.7
2019,7,22,00:00,UTC,26.5,9.7
2019,7,23,00:00,UTC,26.7,10.3
2019,7,24,00:00,UTC,28.7,13.1
2019,7,25,00:00,UTC,27.3,12.2
2019,7,26,00:00,UTC,28.4,11.1
2019,7,27,00:00,UTC,32.2,13.7
2019,7,28,00:00,UTC,29.3,17.4
2019,7,29,00:00,UTC,19.4,7
2019,7,30,00:00,UTC,13.9,3.6
2019,7,31,00:00,UTC,16.5,8.7
2019,8,1,00:00,UTC,17.3,9.9
2019,8,2,00:00,UTC,15.5,8.2
2019,8,3,00:00,UTC,15.5,8
2019,8,4,00:00,UTC,17.8,4.6
2019,8,5,00:00,UTC,21,5.9
2019,8,6,00:00,UTC,19.1,1.5
2019,8,7,00:00,UTC,21.3,5.8
2019,8,8,00:00,UTC,20.7,11.1
2019,8,9,00:00,UTC,23.2,6.1
2019,8,10,00:00,UTC,24.3,6
2019,8,11,00:00,UTC,20.5,8.7
2019,8,12,00:00,UTC,20.3,14.1
2019,8,13,00:00,UTC,20,10.3
2019,8,14,00:00,UTC,18.5,6.7
2019,8,15,00:00,UTC,15.6,10.2
2019,8,16,00:00,UTC,21.7,10.4
2019,8,17,00:00,UTC,23.1,12.8
2019,8,18,00:00,UTC,22.8,13.7
2019,8,19,00:00,UTC,18.9,13.7
2019,8,20,00:00,UTC,21.9,8.4
2019,8,21,00:00,UTC,20.1,9.1
2019,8,22,00:00,UTC,19.9,7.2
2019,8,23,00:00,UTC,16.7,4.8
2019,8,24,00:00,UTC,16.7,10.8
2019,8,25,00:00,UTC,19.8,4.3
2019,8,26,00:00,UTC,20.1,14.7
2019,8,27,00:00,UTC,24.4,6.9
2019,8,28,00:00,UTC,25.7,9.7
2019,8,29,00:00,UTC,24.7,9.8
2019,8,30,00:00,UTC,19.3,11
2019,8,31,00:00,UTC,22.2,8.4
2019,9,1,00:00,UTC,22.4,9
2019,9,2,00:00,UTC,23.1,9.5
2019,9,3,00:00,UTC,17.4,9.9
2019,9,4,00:00,UTC,18.2,4.3
2019,9,5,00:00,UTC,16.7,6.6
2019,9,6,00:00,UTC,16.3,9.5
2019,9,7,00:00,UTC,15.9,2.5
2019,9,8,00:00,UTC,19.4,9.7
2019,9,9,00:00,UTC,16.7,8.8
2019,9,10,00:00,UTC,19.8,14.1
2019,9,11,00:00,UTC,19.4,9.5
2019,9,12,00:00,UTC,16,12.3
2019,9,13,00:00,UTC,14.6,8.4
2019,9,14,00:00,UTC,13.5,5.5
2019,9,15,00:00,UTC,10,1.1
2019,9,16,00:00,UTC,10.4,6.7
2019,9,17,00:00,UTC,9.1,5.5
2019,9,18,00:00,UTC,9.9,2
2019,9,19,00:00,UTC,7.6,-2.6
2019,9,20,00:00,UTC,9.6,-3.8
2019,9,21,00:00,UTC,8,0
2019,9,22,00:00,UTC,8.5,-0.6
2019,9,23,00:00,UTC,8.4,-2.9
2019,9,24,00:00,UTC,7.9,-2.9
2019,9,25,00:00,UTC,8.7,-3.1
2019,9,26,00:00,UTC,10.1,-1.5
2019,9,27,00:00,UTC,13.2,5.3
2019,9,28,00:00,UTC,12.7,6.3
2019,9,29,00:00,UTC,10.4,4.8
2019,9,30,00:00,UTC,11.7,7.2
2019,10,1,00:00,UTC,10.3,4.6
2019,10,2,00:00,UTC,4.6,2.1
2019,10,3,00:00,UTC,3.9,1.1
2019,10,4,00:00,UTC,2.3,0
2019,10,5,00:00,UTC,3.7,-1.6
2019,10,6,00:00,UTC,5.8,-2.8
2019,10,7,00:00,UTC,4.6,1.2
2019,10,8,00:00,UTC,3.1,0.6
2019,10,9,00:00,UTC,5.2,-2.9
2019,10,10,00:00,UTC,3.5,-6.8
2019,10,11,00:00,UTC,9.1,2.7
2019,10,12,00:00,UTC,8,4.5
2019,10,13,00:00,UTC,4.5,1.3
2019,10,14,00:00,UTC,3.4,-3.1
2019,10,15,00:00,UTC,1.5,-4.2
2019,10,16,00:00,UTC,2,0.1
2019,10,17,00:00,UTC,2.1,0.9
2019,10,18,00:00,UTC,5.4,1.1
2019,10,19,00:00,UTC,11,5.4
2019,10,20,00:00,UTC,9.5,0.3
2019,10,21,00:00,UTC,1.9,-0.6
2019,10,22,00:00,UTC,8.4,-0.5
2019,10,23,00:00,UTC,7.9,3.4
2019,10,24,00:00,UTC,9.7,0.7
2019,10,25,00:00,UTC,11,8.2
2019,10,26,00:00,UTC,11,3.4
2019,10,27,00:00,UTC,3.8,-0.7
2019,10,28,00:00,UTC,-0.6,-4.1
2019,10,29,00:00,UTC,-0.4,-6.4
2019,10,30,00:00,UTC,0,-7.8
2019,10,31,00:00,UTC,2.6,-7.1
2019,11,1,00:00,UTC,1.4,-1.4
2019,11,2,00:00,UTC,2.1,-2.4
2019,11,3,00:00,UTC,2.2,-4.5
2019,11,4,00:00,UTC,-2,-5.3
2019,11,5,00:00,UTC,-4.6,-10.6
2019,11,6,00:00,UTC,-6.7,-11.1
2019,11,7,00:00,UTC,-8.1,-10.8
2019,11,8,00:00,UTC,-2.9,-8.2
2019,11,9,00:00,UTC,2,-2.9
2019,11,10,00:00,UTC,1.2,0
2019,11,11,00:00,UTC,0.1,-3.4
2019,11,12,00:00,UTC,-0.9,-4.7
2019,11,13,00:00,UTC,2.5,-1.6
2019,11,14,00:00,UTC,7.7,2
2019,11,15,00:00,UTC,7.7,-0.4
2019,11,16,00:00,UTC,-0.4,-2.3
2019,11,17,00:00,UTC,4.3,-2.6
2019,11,18,00:00,UTC,5.3,2.4
2019,11,19,00:00,UTC,4.8,3.7
2019,11,20,00:00,UTC,5,4.2
2019,11,21,00:00,UTC,4.7,1.2
2019,11,22,00:00,UTC,2.2,-1.2
2019,11,23,00:00,UTC,-1,-2.7
2019,11,24,00:00,UTC,-1.7,-2.7
2019,11,25,00:00,UTC,-1.8,-2.5
2019,11,26,00:00,UTC,0.2,-2.4
2019,11,27,00:00,UTC,0.4,-0.3
2019,11,28,00:00,UTC,0.7,-0.3
2019,11,29,00:00,UTC,3.4,-3.6
2019,11,30,00:00,UTC,-3.6,-8.7
2019,12,1,00:00,UTC,-1.2,-8.9
2019,12,2,00:00,UTC,-3.6,-5.8
2019,12,3,00:00,UTC,-3.1,-11.6
2019,12,4,00:00,UTC,4,-3.1
2019,12,5,00:00,UTC,3.5,1.1
2019,12,6,00:00,UTC,3.7,1.9
2019,12,7,00:00,UTC,2.6,0
2019,12,8,00:00,UTC,0.4,-1.4
2019,12,9,00:00,UTC,2.8,-1.7
2019,12,10,00:00,UTC,-1.7,-8
2019,12,11,00:00,UTC,1.2,-8.1
2019,12,12,00:00,UTC,1.6,-1.4
2019,12,13,00:00,UTC,0.6,-1
2019,12,14,00:00,UTC,0.5,0
2019,12,15,00:00,UTC,0.5,0
2019,12,16,00:00,UTC,0.6,-0.1
2019,12,17,00:00,UTC,0.7,-0.5
2019,12,18,00:00,UTC,0.1,-2.6
2019,12,19,00:00,UTC,-0.5,-2.3
2019,12,20,00:00,UTC,0.3,-1.7
2019,12,21,00:00,UTC,0.4,0
2019,12,22,00:00,UTC,0.3,-0.4
2019,12,23,00:00,UTC,1.5,0
2019,12,24,00:00,UTC,0.6,-0.8
2019,12,25,00:00,UTC,-0.6,-1.9
2019,12,26,00:00,UTC,-1.7,-2.8
2019,12,27,00:00,UTC,-2.5,-11.5
2019,12,28,00:00,UTC,-7.9,-20
2019,12,29,00:00,UTC,0.7,-15.8
2019,12,30,00:00,UTC,4.3,0.6
2019,12,31,00:00,UTC,3,-5.7
2020,1,1,00:00,UTC,3.4,-5.1
2020,1,2,00:00,UTC,5.6,1
2020,1,3,00:00,UTC,4.9,0.7
2020,1,4,00:00,UTC,0.8,-1.9
2020,1,5,00:00,UTC,-0.6,-9.4
2020,1,6,00:00,UTC,0.6,-6.4
2020,1,7,00:00,UTC,3.4,-0.5
2020,1,8,00:00,UTC,5.2,2.3
2020,1,9,00:00,UTC,2.3,-0.8
2020,1,10,00:00,UTC,-0.7,-5
2020,1,11,00:00,UTC,1.1,-5.1
2020,1,12,00:00,UTC,3.6,-0.3
2020,1,13,00:00,UTC,0.4,-2.2
2020,1,14,00:00,UTC,2,-1
2020,1,15,00:00,UTC,6.3,1.2
2020,1,16,00:00,UTC,4.2,1.2
2020,1,17,00:00,UTC,3.4,0.1
2020,1,18,00:00,UTC,3.7,0.4
2020,1,19,00:00,UTC,3.7,-2.6
2020,1,20,00:00,UTC,2.3,-3.4
2020,1,21,00:00,UTC,7.8,0.7
2020,1,22,00:00,UTC,1.5,-2.3
2020,1,23,00:00,UTC,-0.7,-6
2020,1,24,00:00,UTC,1.7,-2.6
2020,1,25,00:00,UTC,-0.3,-5.4
2020,1,26,00:00,UTC,-2.5,-8.5
2020,1,27,00:00,UTC,-5.2,-15.1
2020,1,28,00:00,UTC,-2.2,-6.9
2020,1,29,00:00,UTC,0.1,-2.2
2020,1,30,00:00,UTC,-1.2,-3.3
2020,1,31,00:00,UTC,-2.7,-3.8
2020,2,1,00:00,UTC,-2.4,-4.2
2020,2,2,00:00,UTC,1.1,-2.4
2020,2,3,00:00,UTC,0.4,-4.5
2020,2,4,00:00,UTC,-4.4,-12.1
2020,2,5,00:00,UTC,-0.9,-10
