document_id,titel,rm,doktyp,departement,utskott,dokdelar
h603159_219,Nya regler för pensionsstiftelser med anledning av andra tjänstepensionsdirektivet,2018/19,prop,Finansdepartementet,FiU,"avlägga försäkran under ed. I hemmedlemsstater där det inte finns någon bestämmelse om att försäkran under ed får avläggas ska dock medborgarna från andra berörda medlemsstater få avlägga en försäkran på heder och samvete inför en behörig rättslig eller administrativ myndighet i hemmedlemsstaten eller i den medlemsstat där de är medborgare, eller inför en notarie i en av dessa medlemsstater. Myndigheten eller notarien ska utfärda ett intyg om edgång eller avgiven försäkran. 5.Det bevis om konkursfrihet som avses i punkt 3 kan även läggas fram i form av en försäkran som medborgaren från den andra berörda medlemsstaten avgett inför ett behörigt rättsligt organ en behörig yrkes- eller branschorga­ nisation i den andra medlemsstaten. 6.De handlingar som avses i punkterna 3, 4 och 5 ska visas upp inom tre månader från utfärdandet. 7.Medlemsstaterna ska utse de myndigheter och organ som ska ha behörighet att utfärda de handlingar som avses ipunkterna 3, 4 och 5 och ska omedelbart underrätta övriga medlemsstater och kommissionen om detta. Medlemsstaterna ska även underrätta övriga medlemsstater och kommissionen om de myndigheter eller organ till vilka de handlingar som avses i punkterna 3, 4 och 5 ska lämnas till stöd för en ansökan om att få bedriva sådan verksamhet som avses i artikel 11 på ifrågavarande medlemsstats territorium Artikel 23 rsättningspolicy 1.Medlemsstaterna ska kräva att tjänstepensionsinstituten upprättar och tillämpar en sund ersättningspolicy för alla personer som i praktiken leder tjänstepensionsinstitutet och för personer som utövar nyckelfunktioner samt för andra personalkategorier vars yrkesutövning har en väsentlig inverkan på tjänstepensionsinstitutets riskprofil på ett sätt som står i proportion till dess storlek och interna organisation samt till deras verksamheters storlek, art, omfattning och komplexitet. Prop. 2018/19:159 Bilaga 1 L 354/62 Europeiska unionens officiella tidning 23.12.2016 SV 2.Om inte annat föreskrivs i förordning (EU) 2016/679 ska tjänstepensionsinstituten regelbundet offentliggöra relevant information om ersättningspolicyn. 3.Tjänstepensionsinstitut ska följa följande principer när de upprättar och tillämpar den ersättningspolicy som avses i punkt 1: a)Ersättningspolicyn ska upprättas, genomföras och upprätthållas i enlighet med tjänstepensionsinstitutets verksamheter, riskprofil, mål, långsiktiga intressen, finansiella stabilitet och resultat som helhet, samt bidra till en sund, aktsam och effektiv ledning av tjänstepensionsinstituten. b) Ersättningspolicyn ska vara förenlig med de långsiktiga intressena hos medlemmar och förmånstagare i pensionsplaner som förvaltas av tjänstepensionsinstitutet. c)Ersättningspolicyn ska inkludera åtgärder som syftar till att undvika intressekonflikter. d)Ersättningspolicyn ska vara förenlig med"
h3039_347,Genomförande av Solvens II-direktivet på försäkringsområdet,2015/16,prop,Finansdepartementet,FiU,"uppdragstagare inom eller utom koncernen. Den utlagda verksamheten avser ofta väsentliga delar av rörelsen, såsom kapitalförvaltning, administration, skadereglering eller it-drift. Många uppdragstagare är inte finansiella institut och står därmed inte under tillsyn. Om Finansinspektionen i framtiden skulle sakna en uttrycklig rätt att göra platsundersökningar hos uppdragstagare på motsvarande sätt som hos försäkringsföretagen, skulle inspektionens tillsyn försvåras avsevärt. Bestämmelserna i artikel 38.2 har ingen motsvarighet i de äldre direktiven. Utredningen har förslagit att bestämmelserna bör tas in i föreskrifter på lägre nivå än lag. Nu sägs däremot i avsnitt 17.3.5 att det bör framgå av lag att Finansinspektionen får göra platsbesök hos uppdragstagare som försäkringsföretagen har lagt ut sin verksamhet till och att en bestämmelse om detta således bör införas i anslutning till stadgandet om platsundersökning i tillsynskapitlet (se 14 kap. 6 § FRL). Bestämmelserna i direktivet om tillsynsmyndigheters underrättelser till behöriga myndigheter i det land där en tjänsteleverantör är etablerad innan tillsyn genomförs hos denne och om en tillsynsmyndighets begäran av biträde av tillsynsmyndigheten i det land där tjänsteleverantören är etablerad för genomförande av en inspektion hos leverantören tillgodoses redan i gällande rätt (se 14 kap. 3 § FRL). När det gäller bestämmelsen i artikel 38.1 c – i den del den avser en tillsynsmyndighets möjlighet att kunna utöva de angivna tillträdesrättigheterna – hanteras den frågan i avsnittet om företagsstyrning (avsnitt 15.12.1). Där föreslås att det i lag anges att ett försäkringsföretag som ingår ett uppdragsavtal ska vidta de åtgärder som krävs för att säkerställa att uppdragstagaren ger tillsynsmyndigheterna faktiskt tillträde till uppdragstagarens lokaler. I artikel 2.9 i omnibus II-direktivet läggs nu till två stycken i artikel 38.2 i Solvens II-direktivet. Som nämnts får tillsynsmyndigheten i hemmedlemsstaten – efter att ha underrättat tjänsteleverantörens tillsynsmyndighet – på plats utföra kontroller. Värdlandsmyndigheten får medverka i sådana kontroller. I det första nya stycket stadgas att om tillsynsmyndigheten i värdlandet – efter en sådan begäran – inte kan medverka vid en undersökning, kan tillsynsmyndigheten i hemmedlemsstaten hänskjuta frågan till Eiopa som i enlighet med artikel 19 i förordningen om inrättandet av Eiopa kan ålägga den behöriga myndigheten att vidta en specifik åtgärd. I FRL bör införas en bestämmelse om att Finansinspektionen får hänskjuta frågor som rör ett förfarande av en annan behörig myndighet inom EES till Eiopa för tvistlösning i det fall som framgår av artikel 38 i"
h20367_25,Verksamheten inom Organisationen för säkerhet och samarbete i Europa (OSSE) under andra halvåret 2013 och helåret 2014,2014/15,prop,Utrikesdepartementet,UU,"återupptogs formella förhandlingar. Med en ny regering i Moldavien och byte på ledarskapsposten i Transnistrien väcktes under 2012 förhoppningar om nya möjligheter till framsteg i förhandlingsprocessen. Förhandlingsrundor i 5+2-formatet har därefter hållits regelbundet, med fokus på förtroendeskapande åtgärder, dock utan att leda till betydelsefulla resultat. Vid ministermötena 2013 och 2014 lyckades OSSE:s deltagarstater endast enas om kortare uttalanden om 5+2- processen. Planerade förhandlingar ställdes in under andra halvan av 2014, då parlamentsval ägde rum i Moldavien. Preliminärt ska nya förhandlingsrundor äga rum i början av mars 2015. OSSE:s deltagande stater Albanien Malta Andorra Moldavien Armenien Monaco Azerbajdzjan Mongoliet Belgien Montenegro Bosnien och Hercegovina Nederländerna Bulgarien Norge Cypern Polen Danmark Portugal Estland Rumänien Finland Ryssland Frankrike San Marino Förenade kungariket Schweiz Förenta Staterna Serbien Georgien Slovakien Grekland Slovenien Heliga stolen Spanien Irland Sverige Island Tadzjikistan Italien Tjeckien Kanada Turkiet Kazakstan Turkmenistan Kirgizistan Tyskland Kroatien Ukraina Lettland Ungern Liechtenstein Uzbekistan Litauen Vitryssland Luxemburg Österrike Makedonien OSSE:s partnerstater Afghanistan Sydkorea Algeriet Thailand Australien Tunisien Egypten Japan Israel Jordanien Marocko Skr. 2014/15:67 Bilaga 1 Skr. 2014/15:67 Bilaga 2 Stöd till OSSE under andra halvåret 2013 och verksamhetsåret 2014 Den svenska obligatoriska medlemsavgiften till OSSE uppgick till 39,9 miljoner kronor 2013 och 45,3 miljoner kronor 2014 Utöver den svenska andelen av den ordinarie SSE-budgeten har Sverige även bidragit genom att ställa personal till OSSE:s förfogande. Under andra halvåret 2013 och verksamhetsåret 2014 (under hela eller delar av perioden) har sammanlagt 34 svenska personer arbetat i OSSE:s institutioner, fältmissioner och sekretariat. 16 av dessa har deltagit i OSSE:s särskilda observatörsmission i Ukraina. Därtill deltog Sverige under perioden med svenska observatörer i ODIHR:s valövervakningsmissioner i OSSE-regionen. Under det andra halvåret 2013 deltog sammanlagt 42 svenska observatörer vid valobservationer i Mongoliet, Azerbajdzjan, Georgien och Tadzjikistan. Under 2014 deltog sammanlagt 144 observatörer vid valobservationer i Makedonien, Ukraina, Turkiet, BosnienHercegovina, Moldavien och Uzbekistan. Sverige bidrog under andra halvan av 2013 och verksamhetsåret 2014 även finansiellt till OSSE:s extrabudgetära projektverksamhet, inklusive inom ramen för den verksamhet som bedrivs av Styrelsen för internationellt utvecklingssamarbete (Sida). Stöd har bland annat utgått till OSSE:s särskilda observatörsmission i Ukraina, en översyn av situationen för de mänskliga rättigheterna i Ukraina, ODIHR:s arbete med att främja fria och rättvisa val, ODIHR:s projekt för att stödja förenings- och mötesfrihet i OSSE-regionen, stöd till civilsamhällets deltagande i OSSE-arbetet, projekt som syftar till att"
h7b314_400,Ett säkert statligt ID-kort - med e-legitimation,2019,sou,,,"kontroll med stor säkerhet går att avgöra om handlingens innehavare är den person som handlingen har utfärdats till. Det sistnämnda förutsätter dock att den som ska kontrollera handlingen har tillgång till viss teknisk utrustning SOU 2019:14 ilaga Att använda biometriska uppgifter kan innebära vissa risker för den personliga integriteten. I betänkandet Hur står det till med den personliga integriteten? – en kartläggning av Integritetskommittén (SOU 2016:41) sammanfattar kommittén att användningen av tekniker som involverar många och detaljerade biometriska uppgifter innebär en påtaglig risk för den personliga integriteten. Samtidigt konstaterar kommittén att biometriska tekniker kan medföra stora fördelar, t.ex. genom att bidra till att höja säkerhetsnivån genom att göra identifieringsförfaranden säkrare. Det finns även andra möjligheter att förbättra identitetshandlingars säkerhetsnivå. En sådan säkerhetshöjande ordning skulle kunna vara att utan eller i kombination med biometriska uppgifter förse identitetshandlingar med en pinkod som personen verifierar sig med på samma sätt som man gör med ett bankkort. Utredaren ska •utreda och ta ställning till om det bör ställas krav på att giltiga identitetshandlingar ska innehålla biometriska uppgifter i någon form eller andra säkerhetshöjande detaljer, och •lämna nödvändiga författningsförslag. E-legitimation på högsta tillitsnivå i fysiska identitetshandlingar? Utöver fysiska handlingar finns också e-legitimationer vilket är en elektronisk identitetshandling som kan användas för att identifiera innehavaren på elektronisk väg. E-legitimationer är bl.a. en viktig förutsättning för att medborgare på ett säkert sätt ska kunna identifiera sig elektroniskt i de offentliga myndigheternas e-tjänster. Att använda elektronisk legitimering bedöms som relativt säkert. De risker som finns ligger främst i första steget, dvs. i samband med identifieringen när en person skaffar en e-legitimation. Det är därför viktigt att säkerställa identiteten vid utlämnande. Det blir allt svårare att klara sig i det svenska samhället utan en e-legitimation, och e-legitimationernas tillförlitlighet blir därmed ett allt viktigare samhällsintresse. Det finns fyra tillitsnivåer (1–4) för e-legitimering. Dessa tillitsnivåer svarar mot olika grader av teknisk och operationell säkerhet hos utfärdaren och olika grader av kontroll av att en person som tilldelas en elektronisk identitet verkligen är den han eller hon utger sig för att vara Bilaga OU 2019:14 I ett digitaliserat samhälle måste medborgarna skyddas mot identitetskapning, stöld av identitetshandlingar och bedrägerier. Säker e-legitimering försvårar brott och är därför en viktig nyckel till förtroendet för det digitala samhället. E-legitimationsnämnden konstaterar i sin rapport om försörjning av tjänster för e-legitimering"
h403156_29,En skyldighet att erbjuda lovskola,2016/17,prop,Utbildningsdepartementet,UbU,"de fall då eleven riskerar att inte uppnå kunskapskraven för betyget E i ett eller flera ämnen i nästa årskurs och som därigenom riskerar att inte uppnå behörighet till ett nationellt program i gymnasieskolan. Om huvudmannen gör bedömningen att eleven i nästa årskurs kommer att uppnå kunskapskraven för godkända betyg i den omfattning som krävs för att bli behörig till ett yrkesprogram, finns det ingen skyldighet att erbjuda lovskola. Det finns således ingen skyldighet att erbjuda lovskola till elever som riskerar att inte uppnå behörighet till ett högskoleförberedande program. Skyldigheten bör utformas på sådant sätt att huvudmän ska rikta sitt erbjudande till samtliga elever som uppfyller förutsättningarna för lovskola. Det bör alltså inte vara möjligt för en huvudman att genom urval prioritera exempelvis de elever som bedöms ha störst möjlighet att nå kunskapskraven eller behörighet till gymnasieskolans nationella program. Frivilligt anordnad lovskola ska kunna räknas av mot skyldigheten att anordna lovskola Som framgår ovan föreslår regeringen att regleringen av lovskolan ska preciseras så att den innebär en skyldighet för huvudmän att erbjuda lovskola till elever som avslutat årskurs 8 och som riskerar att i nästa årskurs inte nå kunskapskraven för betyget E i ett eller flera ämnen och som därigenom riskerar att inte bli behöriga till ett nationellt program i gymnasieskolan. Lovskola ska även erbjudas elever som har avslutat årskurs 9 utan att ha uppnått sådan behörighet. Undervisningen ska anordnas i juni samma år som eleven avslutat årskurs 8 respektive 9 och uppgå till en tid som motsvarar två veckor i båda fallen. En huvudman ska dock ha en möjlighet att avräkna den tid som eleverna har deltagit i sådan lovskola som huvudmännen frivilligt har anordnat under perioden från och med augusti det år eleven påbörjar årskurs 8 respektive 9 till och med vårterminen påföljande år. En sådan reglering säkerställer att elever i behov av lovskola får tillgång till sådan undervisning, samtidigt som regleringen inte innebär en onödig styrning av verksamheten. De huvudmän som hellre vill anordna lovskola t.ex. under läslovet eller påsklovet kommer att kunna avräkna den tid som eleven har deltagit i sådan lovskola från skyldigheten att anordna lovskola i juni efter avslutat läsår. Om en elev deltar i en av huvudmannen frivilligt anordnad lovskola i två veckor under perioden från och med augusti det år eleven påbörjar årskurs 8 respektive 9"
h9b330_121,Kampen om tiden - mer tid till lärande ,2021,sou,,,"som går på ett introduktionsprogram är en mycket heterogen grupp, både när det gäller bakgrundsfaktorer och behov samt målsättning med utbildningen. Introduktionsprogrammen behöver därför vara utformade på ett sådant sätt att de så långt som möjligt möter de olika elevernas behov och motiverar dem att fullfölja sina gymnasiestudier. Det flexibla upplägg som utbildningen har innebär att det finns möjlighet för huvudmannen och skolan att möta varje enskild elevs behov, samtidigt som det kan innebära utmaningar att säkerställa en likvärdig utbildning för alla elever. Rapporter från Skolverket och Skolinspektionen visar dock att utformningen av utbildningen i praktiken inte alltid utgår från individens behov, vilket beskrivs närmare längre fram. Enligt Skolverkets redovisning läste totalt 44 900 på ett introduktionsprogram läsåret 2019/20.119 Av dessa var det 14 831 som läste språkintroduktion, som därmed var det största introduktionsprogrammet. Därefter kom programmet individuellt alternativ med 12014 elever, yrkesintroduktion med 9 073 elever och slutligen programinriktat val med 8 509 elever. Preliminära siffror över antalet elever på introduktionsprogram hösten 2020 indikerar att det nu är individuellt alternativ som är det största programmet med 12 300 elever medan det totala antalet elever på språkintroduktion 119Skolverkets statistik, Gymnasieskolan – Elever – Riksnivå, Tabell 5 D: Elever på program och inriktning redovisade efter skolår och kön, läsåret 2019/20 SOU 2021:30 tredningens målgrupper minskat till 10 700.120 Antalet elever på introduktionsprogrammen totalt har minskat för varje år sedan 2016/17. Antalet elever 2019/20 som gick på ett introduktionsprogram var 13 procent färre än läsåret 2018/19.121 De preliminära siffrorna för hösten 2020 indikerar att antalet elever minskat med ytterligare cirka 10 procent sedan föregående läsår. Denna minskning beror framför allt på att det är betydligt färre elever som går på språkintroduktion jämfört med föregående år. På de övriga introduktionsprogrammen har antalet elever ökat något Elevers sysselsättning efter introduktionsprogrammen v de elever som påbörjade ett introduktionsprogram läsåret 2018/19 var det ungefär 40 procent som bytt till ett annat gymnasieprogram ett år senare, läsåret 2019/20. Nästan 24 procent hade då bytt till ett nationellt program medan 16 procent bytt till ett annat introduktionsprogram.122 En annan rapport från Skolverket123 visar att cirka 75 procent av eleverna som började på ett introduktionsprogram år 2012 hade en sysselsättning i form av arbete eller studier år 2017. Av eleverna som först påbörjade ett introduktionsprogram 2012 och sedan övergick till ett nationellt program"
h903227_21,Kompletteringar till EU:s nya gräns- och kustbevakningsförordning och förtydliganden i regler om unga lagöverträdare,2021/22,prop,Justitiedepartementet,JuU,"typer av uppgifter det nu är fråga om. En utländsk tjänsteman som motsvarar en svensk särskilt förordnad passkontrollant kan ges befogenheter enligt 9 kap. 2 § andra stycket utlänningslagen. Enligt den bestämmelsen har särskilt förordnade passkontrollanter motsvarande befogenheter som polismän har vid inresekontroller. Frontex kontrollerar att de av medlemsstaterna föreslagna tjänstemännen i kategori 2 motsvarar de fastställda personalprofilerna (artikel 56.4). Någon nationell kontroll behövs därför inte. Med hänsyn till att det är fråga om en EU-förordning och att det framgår direkt av artikel 82.4 i EU-förordningen vad som gäller för ledning och krav på svensk tjänstemans närvaro finns det inte giltiga skäl att införa en motsvarande bestämmelse i nationell rätt. Det finns inte heller förutsättningar för att i en kompletterande lag, i enlighet med vad JO föreslår, precisera vilka förutsättningar som ska vara uppfyllda för att utländska tjänstemän ska få agera utan svensk tjänstemans närvaro eller förtydliga att utländska tjänstemän står under svensk ledning även när befogenheter utövas utan svensk tjänstemans närvaro. Regeringen instämmer däremot i den uppfattning som JO för fram vad gäller betydelsen av att de utländska tjänstemännen får tydlig information, bland annat om vilka befogenheter de har getts tillstånd att utöva och vad befogenheterna innebär. Sådan information ska, oavsett i vilket land insatsen sker, framgå av den operativa planen. Den operativa planen får tjänstemännen tillgång till både inför och under en insats. Regeringen delar bedömningen i promemorian att det behövs en bestämmelse som reglerar vem som har rätt att ge utländska tjänstemän tillstånd att utöva sådana befogenheter det nu är fråga om. En sådan bestämmelsen behöver dock inte framgå av lag. Regeringen kommer därför att återkomma till den frågan i det fortsatta förordningsarbetet. Sammanfattningsvis anser regeringen att det ska införas en bestämmelse som reglerar att det är sådana befogenheter som svenska polismän, kustbevakningstjänstemän, tulltjänstemän, kriminalvårdstjänstemän respektive tjänstemän vid Migrationsverket har, för uppgifter som avser gränskontroll och återvändande samt för uppgifter som krävs för att uppnå målen med förordningarna (EU) nr 656/2014 och (EU) 2016/399 samt direktiv 2008/115/EG, som utländska tjänstemän ska kunna ges tillstånd att utöva i Sverige. En utländsk tjänsteman som ska tjänstgöra i en viss verksamhet kan dock inte ges tillstånd att utöva andra befogenheter än de som en svensk tjänsteman i motsvarande verksamhet har. Beslut om att neka inresa enligt artikel 14 i förordning (EU) 2016/399 eller beslut"
h9b322_283,Hårdare regler för nya nikotinprodukter,2021,sou,,,"tillförsäkrad en frihet att i tryckt skrift uttrycka tankar, åsikter och känslor samt att offentliggöra allmänna handlingar och i övrigt lämna uppgifter i vilket ämne som helst (1 kap. 1 § andra stycket TF). Yttrandefrihetsgrundlagen, YGL, ger enskilda en motsvarande frihet att uttrycka sig även i ljudradio, tv och vissa liknande överföringar, offentliga uppspelningar ur en databas samt filmer, videogram, ljudupptagningar och andra tekniska upptagningar (1 kap. 1 § första stycket YGL). Grundlagsskyddet i TF och YGL innebär i princip att inskränkningar inte får göras genom lag om inte det medges i dessa regelverk. TF och YGL skyddar dock inte alla yttranden inom de medier som omfattas av grundlagarna, det s.k. formella tillämpningsområdet. I prop. 2017/18:49 Ändrade mediegrundlagar beskrivs de båda grundlagarnas tillämpningsområden på följande sätt. För att grundlagarna ska vara tillämpliga krävs att yttrandet faller inom grundlagarnas materiella tillämpningsområde. Detta bestäms av innebörden av och syftet med tryck- och yttrandefriheten enligt 1 kap. 1 § TF och 1kap. 1 § YGL. Där anges att grundlagarna tillförsäkrar medborgarna rätt att i de skyddade medierna offentligen uttrycka tankar, åsikter 17Se prop. 1973:123. 18Prop. 1977/78:178 s. 2, 3 och 12 f. 19Prop. 1977/78:178, s. 28 SOU 2021:22 n skärpt reglering av marknadsföring och smaksättning av nya nikotinprodukter och känslor och i övrigt lämna uppgifter i vilket ämne som helst till säkrande av ett fritt meningsutbyte, en fri och allsidig upplysning och, enligt yttrandefrihetsgrundlagen, ett fritt konstnärligt skapande. Formuleringen av tryck- och yttrandefrihetens innebörd och syfte innebär att inte all användning av de grundlagsskyddade medierna omfattas av grundlagarnas bestämmelser (s. 170 f.). TF och YGL hindrar alltså i princip inte att lagstiftaren ingriper mot sådana yttranden som faller utanför de båda lagarnas materiella tillämpningsområden. Samtidigt har lagstiftaren ansett att det finns behov av bestämmelser som gör det möjligt att införa förbud mot kommersiella annonser vid viss marknadsföring. Av 1 kap. 12 § TF framgår att det är tillåtet att förbjuda kommersiella annonser vid marknadsföring av alkoholdrycker eller tobaksvaror genom vanlig lag (första punkten). På samma sätt är det möjligt att införa förbud mot kommersiella annonser som har meddelats till skydd för hälsa eller miljö enligt en förpliktelse som följer EU-medlemskapet (tredje punkten). Det har också införts en möjlighet att i vanlig lag införa regler om varningstext, innehållsdeklaration eller annan liknande produktinformation om syftet är skydd för hälsa"
h303125_12,Skuldsanering - förbättrade möjligheter för överskuldsatta att starta om på nytt,2015/16,prop,Justitiedepartementet,CU,"avbrutits genom inledandebeslutet, ska i stället inbetalda medel fördelas mellan de fordringar för vilka utmätningen pågick. 57 § Om det har bestämts att en fordran enligt 32 § första stycket inte ska omfattas av skuldsaneringen, får borgenären trots föreskrifter i annan författning bevilja anstånd med betalningen under den tid betalningsplanen löper. 58 § En överenskommelse som innebär att gäldenären eller tredje man tillförsäkrar någon borgenär, vars fordran omfattas av skuldsaneringen, bättre villkor än enligt skuldsaneringen är ogiltig. 59 § Socialnämnder och andra myndigheter ska till Kronofogdemyndigheten eller en domstol som handlägger ett ärende om skuldsanering på begäran lämna uppgifter om gäldenärens personliga och ekonomiska förhållanden som är av betydelse för prövningen av ärendet. Sådana uppgifter ska också lämnas av myndigheter som anmäler fordringar enligt 19 eller 21 §. 1.Denna lag träder i kraft den 1 november 2016. 2.Genom lagen upphävs skuldsaneringslagen (2006:548). 3.Bestämmelserna i 18 § och 34 § tredje stycket tillämpas inte för ett ärende där ett beslut att inleda skuldsanering enligt skuldsaneringslagen (2006:548) har meddelats före ikraftträdandet. 4.Äldre bestämmelser gäller för beslut om skuldsanering som har fått laga kraft före ikraftträdandet, om inte annat framgår av punkten 5. 5.Om ett beslut om skuldsanering som avses i punkten 4 ändras efter omprövning, får det på gäldenärens begäran bestämmas att hans eller hennes betalningar fortsättningsvis ska ske till Kronofogdemyndigheten i enlighet med 38 § andra stycket. I sådant fall gäller för beslutet även 29, 33 och 35–37 §§, 38 § tredje stycket och 39–53 §§. Vilka fordringar som omfattas av skuldsaneringen får inte ändras. Förslag till lag om skuldsanering för företagare Prop. 2015/16:125 Härigenom föreskrivs följande. Lagens innehåll 1 § Denna lag innehåller bestämmelser om en särskild form av skuldsanering för företagare och närstående till företagare (F-skuldsanering). F-skuldsanering innebär att en gäldenär delvis befrias från ansvar för betalningen av de skulder som omfattas av F-skuldsaneringen. Definitioner 2 § I lagen avses med företagare: en fysisk person som är eller har varit engagerad i en näringsverksamhet, antingen genom att driva eller ha drivit enskild näringsverksamhet eller genom att vara eller ha varit företrädare för en juridisk person som driver eller har drivit näringsverksamhet, närstående: make, sambo, förälder, syskon eller barn och makes eller sambos barn Information om -skuldsanering 3 § Kronofogdemyndigheten ska lämna upplysningar om F-skuldsanering till svårt skuldsatta företagare och närstående till företagare som"
h603158_295,En ny reglering för tjänstepensionsföretag,2018/19,prop,Finansdepartementet,FiU,"av tillgångarna som täcker tekniska avsättningar för gränsöverskridande verksamhet (artikel 19.8) Gällande rätt försäkringsrörelselagen finns det inte några bestämmelser om särskilda investeringsregler för gränsöverskridande verksamhet. För försäkringsföretag som följer övergångsbestämmelserna (punkt 2 i övergångsbestämmelserna till lagen [2015:700] om ändring i försäkringsrörelselagen [2010:2043]) finns en bestämmelse om tillämpning av utländska placeringsregler. Om ett annat land inom EES har bestämmelser som innebär begränsningar för ett försäkringsföretags placering av tillgångar i verksamhet avseende tjänstepensionsförsäkring utöver de bestämmelser som framgår av försäkringsrörelselagen, ska ett företag som driver sådan verksamhet där, på begäran från behörig myndighet i det landet, tillämpa även de utländska bestämmelserna (6 kap. 24 § FRL i lydelsen före den 1 januari 2016). Tjänstepensionskassor omfattas av en motsvarande bestämmelse som de försäkringsföretag som följer övergångsbestämmelserna (7 kap. 14 § 1982 års FRL jämförd med 24 b § femte stycket UFL) Investeringsbestämmelser för gränsöverskridande verksamhet samband med genomförandet i svensk rätt av första tjänstepensionsdirektivet infördes bestämmelser om tillämpning av utländska placeringsregler vid gränsöverskridande verksamhet avseende tjänstepensionsförsäkring. Bestämmelserna föranleddes av att det enligt det direktivet var möjligt för ett värdland att kräva att vissa särskilt angivna begränsningsregler skulle gälla ett utländskt instituts verksamhet i det landet. Svenska tjänstepensionsinstitut kunde därmed underkastas strängare placeringsregler beträffande verksamhet i ett annat land inom EES (se prop. 2004/05:165 s. 181). Utredningens förslag baseras på bestämmelserna i första tjänstepensionsdirektivet. Andra tjänstepensionsdirektivet innehåller inte några motsvarande bestämmelser. Som framgår ovan är det i stället förbjudet för värdlandet att fastställa investeringsregler utöver dem som ska gälla för samtliga tjänstepensionsinstitut enligt direktivet. De bestämmelserna kräver inte några lagstiftningsåtgärder. Frågan om investeringsregler för utländska tjänstepensionsinstitut som driver verksamhet i Sverige behandlas i avsnitt 7.2. Prop. 2018/19:158 Prop. 2018/19:158 8.2.10 Kapitalförvaltning Regeringens bedömning: Svensk lagstiftning uppfyller redan kravet i andra tjänstepensionsdirektivet att tjänstepensionsföretag ska ha rätt att anlita kapitalförvaltare som är auktoriserade i andra länder inom EES. Utredningens bedömning överensstämmer med regeringens bedömning. Remissinstanserna tillstyrker bedömningen eller har inget att invända mot den. Promemorians bedömning överensstämmer med regeringens bedömning. Remissinstanserna tillstyrker bedömningen eller har inget att invända mot den. Skälen för regeringens bedömning: Enligt andra tjänstepensionsdirektivet får medlemsstaterna inte begränsa tjänstepensionsinstitutens rätt att för förvaltningen av investeringsportföljen utse kapitalförvaltare som är etablerade och auktoriserade i en annan medlemsstat (artikel 32). Motsvarande bestämmelser finns i första tjänstepensionsdirektivet (artikel 19.1). Vid genomförandet av första tjänstepensionsdirektivet gjordes bedömningen att svensk lagstiftning"
h7b366_262,En utvecklad vattenförvaltning - volym 1 och 2 ,2019,sou,,,"standardisering av till exempel definitioner, 2Riksrevisionen (2019b) Digital samverkan och digitala verktyg OU 2019:66 informationsdomäner, metadatahantering, begreppskataloger och tekniska gränssnitt för att skriva och läsa information i automatiserade lösningar, maskin till maskin. Den semantiska, tekniska och juridiska interoperabiliteten uppges vara av avgörande betydelse inom hela sektorn Smart miljöinformation aturvårdsverket har i uppdrag att leda arbetet med att digitalisera och tillgängliggöra miljöinformation. Målet med smart miljöinformation är att bidra till att möta klimatutmaningen och nå Sveriges miljömål.3 Smart miljöinformation är en samverkansform som har skapats utifrån ett regeringsuppdrag till Naturvårdsverket med syfte att det ska bli enklare att använda och förstå informationen som finns hos myndigheter, länsstyrelser och kommuner. Förmågan att utgå från helhetssyn och samverka är avgörande för att uppnå såväl nationella mål för digitalisering som målen inom miljösektorn. Naturvårdsverket driver samverkan inom smart miljöinformation vidare efter avslutat regeringsuppdrag med hjälp av de myndigheter som ingår i samverkan. OECD pekar i en rapport4 på de faktorer som Sverige saknar för att accelerera digitaliseringen. OECD rekommenderar bland annat att stärka det strategiska digitala ledarskapet, tydliggöra ansvarsfördelningen och säkerställa att data tillgängliggörs och förvaltas enligt mer gemensamma policys. Samverkansformen smart miljöinformation är enligt Havs- och vattenmyndigheten i nuläget den plattform som miljösektorn har för att stärka förmågan att gemensamt öka måluppfyllelsen. Havs- och vattenmyndigheten har till utredningen framfört att om den ska kvarstå som samverkansplattform krävs mandat och resurser för att kunna genomföra de rekommendationer som OECD ger och säkerställa att miljösektorn förhåller sig till motsvarande utveckling på nationell nivå. Havs- och vattenmyndigheten menar att det behövs tydliga mandat och resurser på såväl nationell som regional nivå för att skapa en effektiv och väl fungerande miljöinformationsförsörjning som bidrar till genomförandet av vattenförvaltningen. 3www.naturvardsverket.se/smartmiljoinformation (avläst 2019-11-08) 4Digital Government Review of Sweden Towards a atadriven Public Sector SOU 2019:66 igital samverkan och digitala verktyg 12.2Digitala verktyg Under avsnittet digital samverkan ovan lyftes sammanhanget och arbetssätt runt de digitala verktygen. Under detta avsnitt redovisas några verktyg och komponenter som är av relevans för att stödja en väl fungerande vattenförvaltning Insamlingssystem behöver uppgraderas nom miljöövervakningen finns ett antal insamlingssystem som kan vara allt från utförarnas egna system till relativt oumbärliga standardprogramvaror som levereras av privata aktörer. Systemen är utvecklade nära verksamheten och uppges fungera väl men det finns enligt Havs- och vattenmyndigheten betydande risker med föråldrade system där programvaran inte"
